Esperimento                   : HERD                                              
Denominazione                 :                                                   
Lotto                         :                                                   
Operatore                     : GG                                                
Nr.Pezzo                      : QUAD07                                            
Point                          X=    486.129                                  
quad07_lad1_si0_3              Y=    268.311                              
(4)                            Z=      0.002
Point                          X=    388.627                                  
quad07_lad1_si0_0              Y=    268.052                              
(5)                            Z=      0.045
Point                          X=    387.671                                  
quad07_lad0_si0_3              Y=    268.059                              
(6)                            Z=      0.041
Point                          X=    290.168                                  
quad07_lad0_si0_0              Y=    267.808                              
(7)                            Z=      0.054
Point                          X=    290.418                                  
quad07_lad0_si0_1              Y=    170.304                              
(8)                            Z=      0.180
Point                          X=    290.421                                  
quad07_lad0_si1_0              Y=    169.325                              
(9)                            Z=      0.190
Point                          X=    290.615                                  
quad07_lad0_si1_1              Y=     71.823                              
(10)                           Z=      0.032
Point                          X=    388.117                                  
quad07_lad0_si1_2              Y=     72.015                              
(11)                           Z=     -0.007
Point                          X=    389.110                                  
quad07_lad1_si1_1              Y=     72.029                              
(12)                           Z=     -0.024
Point                          X=    388.882                                  
quad07_lad1_si1_0              Y=    169.524                              
(13)                           Z=      0.133
Point                          X=    387.923                                  
quad07_lad0_si1_3              Y=    169.514                              
(14)                           Z=      0.126
Point                          X=    387.916                                  
quad07_lad0_si0_2              Y=    170.552                              
(15)                           Z=      0.091
Point                          X=    388.882                                  
quad07_lad1_si0_1              Y=    170.542                              
(16)                           Z=      0.076
Point                          X=    486.382                                  
quad07_lad1_si0_2              Y=    170.801                              
(17)                           Z=      0.089
Point                          X=    486.382                                  
quad07_lad1_si1_3              Y=    169.753                              
(18)                           Z=      0.125
Point                          X=    486.609                                  
quad07_lad1_si1_2              Y=     72.253                              
(19)                           Z=      0.036
Point                          X=    476.134                                  
quad07_hef1_1                  Y=    325.142                              
(20)                           Z=      1.151
Point                          X=    398.312                                  
quad07_hef1_0                  Y=    324.982                              
(21)                           Z=      1.227
Point                          X=    377.631                                  
quad07_hef0_1                  Y=    324.995                              
(22)                           Z=      1.182
Point                          X=    299.818                                  
quad07_hef0_0                  Y=    324.771                              
(23)                           Z=      1.214

