Esperimento                   : HERD                                              
Denominazione                 :                                                   
Lotto                         :                                                   
Operatore                     : GG                                                
Nr.Pezzo                      : QUAD03                                            
Point                          X=    265.278                                  
quad03_lad0_si0_0              Y=    270.003                              
(4)                            Z=      0.017
Point                          X=    265.451                                  
quad03_lad0_si1_1              Y=     74.042                              
(5)                            Z=     -0.164
Point                          X=    265.389                                  
quad03_lad0_si1_0              Y=    171.540                              
(6)                            Z=     -0.078
Point                          X=    265.382                                  
quad03_lad0_si0_1              Y=    172.505                              
(7)                            Z=     -0.087
Point                          X=    362.775                                  
quad03_lad0_si0_3              Y=    270.109                              
(8)                            Z=     -0.037
Point                          X=    363.705                                  
quad03_lad1_si0_0              Y=    270.085                              
(9)                            Z=      0.024
Point                          X=    363.862                                  
quad03_lad1_si1_1              Y=     74.043                              
(10)                           Z=     -0.187
Point                          X=    363.769                                  
quad03_lad1_si1_0              Y=    171.545                              
(11)                           Z=     -0.217
Point                          X=    362.890                                  
quad03_lad0_si1_3              Y=    171.598                              
(12)                           Z=     -0.217
Point                          X=    362.879                                  
quad03_lad0_si0_2              Y=    172.609                              
(13)                           Z=     -0.133
Point                          X=    363.773                                  
quad03_lad1_si0_1              Y=    172.583                              
(14)                           Z=     -0.135
Point                          X=    362.950                                  
quad03_lad0_si1_2              Y=     74.100                              
(15)                           Z=     -0.170
Point                          X=    461.363                                  
quad03_lad1_si1_2              Y=     74.137                              
(16)                           Z=     -0.110
Point                          X=    461.270                                  
quad03_lad1_si1_3              Y=    171.638                              
(17)                           Z=     -0.114
Point                          X=    461.275                                  
quad03_lad1_si0_2              Y=    172.654                              
(18)                           Z=     -0.095
Point                          X=    461.205                                  
quad03_lad1_si0_3              Y=    270.152                              
(19)                           Z=     -0.008
Point                          X=    451.318                                  
quad03_hef1_1                  Y=    327.079                              
(20)                           Z=      1.389
Point                          X=    373.492                                  
quad03_hef1_0                  Y=    327.009                              
(21)                           Z=      1.311
Point                          X=    352.730                                  
quad03_hef0_1                  Y=    326.972                              
(22)                           Z=      1.305
Point                          X=    274.922                                  
quad03_hef0_0                  Y=    326.969                              
(23)                           Z=      1.346
