Esperimento                   : HERD                                              
Denominazione                 :                                                   
Lotto                         :                                                   
Operatore                     : GG                                                
Nr.Pezzo                      : QUAD01                                            
Point                          X=    265.196                                  
quad01_lad0_si0_0              Y=    270.114                              
(4)                            Z=     -0.007
Point                          X=    265.322                                  
quad01_lad0_si0_1              Y=    172.612                              
(5)                            Z=     -0.116
Point                          X=    265.286                                  
quad01_lad0_si1_0              Y=    171.576                              
(6)                            Z=     -0.110
Point                          X=    265.396                                  
quad01_lad0_si1_1              Y=     74.078                              
(7)                            Z=      0.031
Point                          X=    362.899                                  
quad01_lad0_si1_2              Y=     74.190                              
(8)                            Z=     -0.235
Point                          X=    363.880                                  
quad01_lad1_si1_1              Y=     74.173                              
(9)                            Z=     -0.199
Point                          X=    363.756                                  
quad01_lad1_si1_0              Y=    171.671                              
(10)                           Z=     -0.274
Point                          X=    362.784                                  
quad01_lad0_si1_3              Y=    171.688                              
(11)                           Z=     -0.212
Point                          X=    362.818                                  
quad01_lad0_si0_2              Y=    172.737                              
(12)                           Z=     -0.120
Point                          X=    363.778                                  
quad01_lad1_si0_1              Y=    172.697                              
(13)                           Z=     -0.170
Point                          X=    362.694                                  
quad01_lad0_si0_3              Y=    270.237                              
(14)                           Z=     -0.081
Point                          X=    363.652                                  
quad01_lad1_si0_0              Y=    270.198                              
(15)                           Z=     -0.047
Point                          X=    461.153                                  
quad01_lad1_si0_3              Y=    270.321                              
(16)                           Z=     -0.033
Point                          X=    461.274                                  
quad01_lad1_si0_2              Y=    172.822                              
(17)                           Z=     -0.080                                         
Point                          X=    461.255                                  
quad01_lad1_si1_3              Y=    171.792                              
(18)                           Z=     -0.082
Point                          X=    461.376                                  
quad01_lad1_si1_2              Y=     74.296                              
(19)                           Z=      0.045                                           
Point                          X=    451.215                                  
quad01_hef1_1                  Y=    327.096                              
(20)                           Z=      1.426
Point                          X=    373.385                                  
quad01_hef1_0                  Y=    327.208                              
(21)                           Z=      1.305
Point                          X=    352.723                                  
quad01_hef0_1                  Y=    327.146                              
(22)                           Z=      1.357
Point                          X=    274.894                                  
quad01_hef0_0                  Y=    327.161                              
(23)                           Z=      1.396
