Esperimento                   : HERD                                              
Denominazione                 :                                                   
Lotto                         :                                                   
Operatore                     : GG                                                
Nr.Pezzo                      : QUAD08                                            
Point                          X=    485.870                                  
quad08_lad1_si0_3              Y=    268.097                              
(4)                            Z=     -0.007
Point                          X=    486.162                                  
quad08_lad1_si0_2              Y=    170.592                              
(5)                            Z=     -0.070
Point                          X=    486.153                                  
quad08_lad1_si1_3              Y=    169.438                              
(6)                            Z=     -0.059
Point                          X=    486.326                                  
quad08_lad1_si1_2              Y=     71.938                              
(7)                            Z=     -0.285
Point                          X=    388.824                                  
quad08_lad1_si1_1              Y=     71.764                              
(8)                            Z=     -0.277
Point                          X=    387.901                                  
quad08_lad0_si1_2              Y=     71.768                              
(9)                            Z=     -0.279
Point                          X=    290.400                                  
quad08_lad0_si1_1              Y=     71.502                              
(10)                           Z=      0.024
Point                          X=    290.136                                  
quad08_lad0_si1_0              Y=    169.001                              
(11)                           Z=      0.120
Point                          X=    387.634                                  
quad08_lad0_si1_3              Y=    169.266                              
(12)                           Z=     -0.088
Point                          X=    388.651                                  
quad08_lad1_si1_0              Y=    169.261                              
(13)                           Z=     -0.098
Point                          X=    388.661                                  
quad08_lad1_si0_1              Y=    170.296                              
(14)                           Z=     -0.107
Point                          X=    387.672                                  
quad08_lad0_si0_2              Y=    170.302                              
(15)                           Z=     -0.105
Point                          X=    388.368                                  
quad08_lad1_si0_0              Y=    267.798                              
(16)                           Z=     -0.024
Point                          X=    387.419                                  
quad08_lad0_si0_3              Y=    267.803                              
(17)                           Z=     -0.059
Point                          X=    289.917                                  
quad08_lad0_si0_0              Y=    267.545                              
(18)                           Z=      0.022
Point                          X=    290.171                                  
quad08_lad0_si0_1              Y=    170.045                              
(19)                           Z=      0.136
Point                          X=    299.540                                  
quad08_hef0_0                  Y=    324.413                              
(20)                           Z=      1.123
Point                          X=    377.375                                  
quad08_hef0_1                  Y=    324.602                              
(21)                           Z=      1.196
Point                          X=    398.079                                  
quad08_hef1_0                  Y=    324.702                              
(22)                           Z=      1.161
Point                          X=    475.901                                  
quad08_hef1_1                  Y=    324.957                              
(23)                           Z=      1.106                                          
